id,username,password,role
15,sarjanasipil,5f4dcc3b5aa765d61d8327deb882cf99,4
16,sarjanaarsitek,5f4dcc3b5aa765d61d8327deb882cf99,4
17,sarjanakimia,5f4dcc3b5aa765d61d8327deb882cf99,4
18,sarajanapwk,5f4dcc3b5aa765d61d8327deb882cf99,4
19,sarajanamesin,5f4dcc3b5aa765d61d8327deb882cf99,4
20,sarjanaelektro,5f4dcc3b5aa765d61d8327deb882cf99,4
21,sarjanaperkapalan,5f4dcc3b5aa765d61d8327deb882cf99,4
22,sarjanaindustri,5f4dcc3b5aa765d61d8327deb882cf99,4
23,sarjanalingkungan,5f4dcc3b5aa765d61d8327deb882cf99,4
24,sarjanageologi,5f4dcc3b5aa765d61d8327deb882cf99,4
25,sarjanageodesi,5f4dcc3b5aa765d61d8327deb882cf99,4
26,sarjanakomputer,5f4dcc3b5aa765d61d8327deb882cf99,4
27,magisterarsitek,5f4dcc3b5aa765d61d8327deb882cf99,4
28,magistersipil,5f4dcc3b5aa765d61d8327deb882cf99,4
29,magisterkimia,5f4dcc3b5aa765d61d8327deb882cf99,4
30,magisterelektro,5f4dcc3b5aa765d61d8327deb882cf99,4
31,magisterpwk,5f4dcc3b5aa765d61d8327deb882cf99,4
32,magistertmi,5f4dcc3b5aa765d61d8327deb882cf99,4
33,magistermesin,5f4dcc3b5aa765d61d8327deb882cf99,4
34,magisterlingkungan,5f4dcc3b5aa765d61d8327deb882cf99,4
35,doktorsipil,5f4dcc3b5aa765d61d8327deb882cf99,4
36,doktorarsitekturperkotaan,5f4dcc3b5aa765d61d8327deb882cf99,4
37,doktormesin,5f4dcc3b5aa765d61d8327deb882cf99,4
38,doktorkimia,5f4dcc3b5aa765d61d8327deb882cf99,4
39,insinyur,5f4dcc3b5aa765d61d8327deb882cf99,4
40,vokasi,5f4dcc3b5aa765d61d8327deb882cf99,4
41,dekanat,5f4dcc3b5aa765d61d8327deb882cf99,4
